Thẻ,Loại,Cấp,Thành phần,Giống Kanji,Onyomi,Kunyomi,Nanori,Đọc Chính,Đọc,Nghĩa Chính,Nghĩa Phụ
尻拭い,vocab,51,"尻,拭",N/A,N/A,N/A,N/A,しりぬぐい,しりぬぐい,Chùi Đít,Shirinugui
尻が重い,vocab,33,"尻,重",N/A,N/A,N/A,N/A,しりがおもい,しりがおもい,Lười Biếng,
笑み,vocab,14,笑,N/A,N/A,N/A,N/A,えみ,えみ,Nụ Cười,
酒蒸し,vocab,42,"酒,蒸",N/A,N/A,N/A,N/A,さかむし,さかむし,Hấp Rượu,
愛しい,vocab,22,愛,N/A,N/A,N/A,N/A,いとしい,いとしい,Đáng Yêu,
酒瓶,vocab,60,"酒,瓶",N/A,N/A,N/A,N/A,さかびん,さかびん,Sakabin,Chai Rượu
稲妻,vocab,20,"稲,妻",N/A,N/A,N/A,N/A,いなずま,いなずま,Tia Chớp,
読み取る,vocab,13,"読,取",N/A,N/A,N/A,N/A,よみとる,よみとる,Đọc Hiểu,
聞き取る,vocab,15,"聞,取",N/A,N/A,N/A,N/A,ききとる,ききとる,Nghe Hiểu,
豪雨,vocab,67,"豪,雨",N/A,N/A,N/A,N/A,ごうう,ごうう,Mưa To,Gouu
豪傑,vocab,67,"豪,傑",N/A,N/A,N/A,N/A,ごうけつ,ごうけつ,Hào Kiệt,
税込み,vocab,27,"税,込",N/A,N/A,N/A,N/A,ぜいこみ,ぜいこみ,Bao Gồm Thuế,
猫飯,vocab,29,"猫,飯",N/A,N/A,N/A,N/A,ねこまんま,"ねこまんま, ねこめし",Nekomanma,
寝相,vocab,25,"寝,相",N/A,N/A,N/A,N/A,ねぞう,ねぞう,Nezou,Tư Thế Ngủ
日の入り,vocab,2,"日,入",N/A,N/A,N/A,N/A,ひのいり,ひのいり,Mặt Trời Lặn,
残高,vocab,41,"残,高",N/A,N/A,N/A,N/A,ざんだか,ざんだか,Số Dư,
煩悩,vocab,36,"煩,悩",N/A,N/A,N/A,N/A,ぼんのう,ぼんのう,Bonnou,Phiền Não
